avg_PI,eav
82,872.00
83,890.44
84,908.87
85,927.31
86,945.74
87,964.18
88,982.62
89,1001.05
90,1019.49
91,1037.92
92,1056.36
93,1074.79
94,1093.23
95,1111.66
96,1130.10
97,1148.53
98,1166.97
99,1185.41
100,1203.84
101,1222.28
102,1240.71
103,1259.15
104,1277.58
105,1296.02
106,1314.45
107,1332.89
108,1351.33
109,1369.76
110,1388.20
111,1406.63
112,1425.07
113,1443.50
114,1461.94
115,1480.37
116,1498.81
117,1517.24
118,1535.68
119,1554.12
120,1572.55
121,1590.99
122,1609.42
123,1627.86
124,1646.29
125,1664.73
126,1683.16
127,1701.60
128,1720.03
129,1738.47
130,1756.91
