map_symbol,soil_type,favorability,productivity_index
2,Cisne silt loam,Favorable,97
3,Hoyleton silt loam,Favorable,96
4,Richview silt loam,Favorable,98
5,Blair silt loam,Unfavorable,92
6,Fishhook silt loam,Unfavorable,86
7,Atlas silt loam,Unfavorable,79
8,Hickory loam,Favorable,81
9,Sandstone rock land,Crop yield data not available,
10,Plumfield silty clay loam,Unfavorable,72
12,Wynoose silt loam,Favorable,86
13,Bluford silt loam,Favorable,90
14,Ava silt loam,Unfavorable,89
15,Parke silt loam,Favorable,97
16,Rushville silt loam,Favorable,97
17,Keomah silt loam,Favorable,105
18,Clinton silt loam,Favorable,107
19,Sylvan silt loam,Favorable,98
21,Pecatonica silt loam,Favorable,100
22,Westville silt loam,Favorable,100
23,Blount silt loam,Favorable,93
24,Dodge silt loam,Favorable,108
25,Hennepin loam,Unfavorable,80
26,Wagner silt loam,Favorable,96
27,Miami silt loam,Favorable,99
28,Jules silt loam,Favorable,108
29,Dubuque silt loam,Unfavorable,85
30,Hamburg silt loam,Favorable,95
31,Pierron silt loam,Favorable,90
34,Tallula silt loam,Favorable,116
35,Bold silt loam,Favorable,97
36,Tama silt loam,Favorable,123
37,Worthen silt loam,Favorable,126
38,Rocher loam,Favorable,96
40,Dodgeville silt loam,Favorable,92
41,Muscatine silt loam,Favorable,130
42,Papineau fine sandy loam,Favorable,91
43,Ipava silt loam,Favorable,126
44,"Pella silty clay loam, bedrock substratu",Favorable,100
45,Denny silt loam,Favorable,105
46,Herrick silt loam,Favorable,118
47,Virden silt loam,Favorable,122
48,Ebbert silt loam,Favorable,111
49,Watseka loamy fine sand,Favorable,82
50,Virden silty clay loam,Favorable,119
51,Muscatune silt loam,Favorable,130
53,Bloomfield fine sand,Favorable,75
54,Plainfield sand,Favorable,67
55,Sidell silt loam,Favorable,117
56,Dana silt loam,Favorable,116
57,Montmorenci silt loam,Favorable,103
59,Lisbon silt loam,Favorable,121
60,La Rose silt loam,Favorable,104
61,Atterberry silt loam,Favorable,117
62,Herbert silt loam,Favorable,116
63,Blown-out land,Crop yield data not available,
64,Parr fine sandy loam,Favorable,95
67,Harpster silty clay loam,Favorable,117
68,Sable silty clay loam,Favorable,126
69,Milford silty clay loam,Favorable,113
70,Beaucoup silty clay loam,Favorable,116
71,Darwin silty clay,Favorable,98
72,Sharon silt loam,Favorable,108
73,Ross loam,Favorable,119
74,Radford silt loam,Favorable,120
75,Drury silt loam,Favorable,112
76,Otter silt loam,Favorable,123
77,Huntsville silt loam,Favorable,127
78,Arenzville silt loam,Favorable,115
79,Menfro silt loam,Favorable,106
81,Littleton silt loam,Favorable,126
82,Millington loam,Favorable,111
83,Wabash silty clay,Favorable,103
84,Okaw silt loam,Favorable,85
85,Jacob clay,Favorable,73
86,Osco silt loam,Favorable,125
87,Dickinson sandy loam,Favorable,92
88,Sparta loamy sand,Favorable,81
89,Maumee fine sandy loam,Favorable,83
90,Bethalto silt loam,Favorable,118
91,Swygert silty clay loam,Unfavorable,104
92,Sarpy sand,Favorable,74
93,Rodman gravelly loam,Unfavorable,74
94,Limestone rock land,Crop yield data not available,
95,Shale rock land,Crop yield data not available,
96,Eden silty clay loam,Unfavorable,72
97,Houghton peat,Favorable,107
98,Ade loamy fine sand,Favorable,91
99,Sandstone and limestone roc,Crop yield data not available,
100,Palms muck,Favorable,104
101,"Brenton silt loam, bedrock substratum",Favorable,111
102,La Hogue loam,Favorable,107
103,Houghton muck,Favorable,115
104,Virgil silt loam,Favorable,117
105,Batavia silt loam,Favorable,114
106,Hitt sandy loam,Favorable,100
107,Sawmill silty clay loam,Favorable,123
108,Bonnie silt loam,Favorable,98
109,Racoon silt loam,Favorable,94
111,Rubio silt loam,Favorable,101
112,Cowden silt loam,Favorable,103
